day,month,year,pizza,number,date
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,4,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,margherita,5,NA
9,3,2020,hawaiian,2,NA
9,3,2020,meat lovers,4,NA
9,3,2020,hawaiian,5,NA
9,3,2020,vegetarian,1,NA
9,3,2020,hawaiian,4,NA
9,3,2020,hawaiian,3,NA
10,3,2020,hawaiian,4,NA
10,3,2020,vegetarian,3,NA
10,3,2020,meat lovers,1,NA
10,3,2020,meat lovers,3,NA
10,3,2020,margherita,3,NA
10,3,2020,margherita,5,NA
10,3,2020,margherita,1,NA
10,3,2020,vegetarian,4,NA
11,3,2020,vegetarian,2,NA
11,3,2020,hawaiian,2,NA
11,3,2020,hawaiian,2,NA
11,3,2020,hawaiian,2,NA
11,3,2020,hawaiian,2,NA
11,3,2020,hawaiian,2,NA
11,3,2020,hawaiian,2,NA
11,3,2020,hawaiian,2,NA
11,3,2020,hawaiian,2,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,3,NA
11,3,2020,vegetarian,4,NA
11,3,2020,vegetarian,4,NA
11,3,2020,vegetarian,4,NA
11,3,2020,vegetarian,4,NA
11,3,2020,vegetarian,4,NA
11,3,2020,vegetarian,4,NA
